Date,Portfolio Value
2010-03-31,554434.3017470414
2010-04-30,549403.3385633874
2010-05-31,571660.8393433075
2010-06-30,621738.2936059088
2010-07-31,573680.5293971653
2010-08-31,585661.9338768445
2010-09-30,602127.0959325596
2010-10-31,598675.7760871293
2010-11-30,582472.8894953476
2010-12-31,548747.7101578405
2011-01-31,521450.6910026333
2011-02-28,473677.99382423254
2011-03-31,524033.6480096619
2011-04-30,508853.5461565948
2011-05-31,538532.9782319698
2011-06-30,556536.8799773334
2011-07-31,524324.5503863
2011-08-31,491502.18557722063
2011-09-30,494514.46129398275
2011-10-31,529717.3671851521
2011-11-30,478328.2176596846
2011-12-31,459867.4949252374
2012-01-31,483713.59378752497
2012-02-29,497997.45913770644
2012-03-31,506614.0231262172
2012-04-30,496844.5998244916
2012-05-31,494981.5961020415
2012-06-30,507136.5034330645
2012-07-31,507439.99982413056
2012-08-31,529850.9677418589
2012-09-30,582543.1127368698
2012-10-31,582528.4169599933
2012-11-30,609101.0673218295
2012-12-31,598678.2317698229
2013-01-31,566388.2740326178
2013-02-28,530852.1031812654
2013-03-31,547904.776386403
2013-04-30,572462.9578078273
2013-05-31,604344.988159652
2013-06-30,571066.7045185724
2013-07-31,627957.6742983832
2013-08-31,656798.3479920876
2013-09-30,664831.3334908609
2013-10-31,737197.9111120674
2013-11-30,787474.6610689934
2013-12-31,817711.8201429318
2014-01-31,817288.0291683585
2014-02-28,857868.6522460908
2014-03-31,938724.829388754
2014-04-30,956608.7644427451
2014-05-31,1074671.0187318986
2014-06-30,1109825.5899477378
2014-07-31,1085854.3674115974
2014-08-31,1106654.5727543938
2014-09-30,1131356.5147705087
2014-10-31,1184823.6957685144
2014-11-30,1236359.005549509
2014-12-31,1235277.2915735675
2015-01-31,1310685.2354797286
2015-02-28,1323243.8666448337
2015-03-31,1230554.1850382192
2015-04-30,1170933.1010455934
2015-05-31,1188125.985665402
2015-06-30,1206190.865218239
2015-07-31,1258416.1690597914
2015-08-31,1231036.8915606511
2015-09-30,1132537.151621575
2015-10-31,1148983.1197866462
2015-11-30,1067205.6724713873
2015-12-31,1063334.8142600306
2016-01-31,1069302.4727134227
2016-02-29,1007041.7450086814
2016-03-31,1066102.0620872527
2016-04-30,1163371.0946592602
2016-05-31,1131562.7146980765
2016-06-30,1149415.596324401
2016-07-31,1220867.6649287574
2016-08-31,1286128.0291285268
2016-09-30,1250677.5377793037
2016-10-31,1298606.341167633
2016-11-30,1202726.6139017097
2016-12-31,1167535.9266295687
2017-01-31,1224672.9327087817
2017-02-28,1242767.1300633103
2017-03-31,1307514.0311706157
2017-04-30,1309409.9869577175
2017-05-31,1267224.438267692
2017-06-30,1302241.738197086
2017-07-31,1339242.3790462534
2017-08-31,1447360.451693371
2017-09-30,1399882.518487324
2017-10-31,1483010.801549048
2017-11-30,1447622.060632955
2017-12-31,1571779.5257458182
2018-01-31,1596672.2286783482
2018-02-28,1562349.2537047318
2018-03-31,1532327.5076857747
2018-04-30,1661474.655721451
2018-05-31,1650069.675136853
2018-06-30,1651948.8320181374
2018-07-31,1683002.1531207217
2018-08-31,1740536.1314940166
2018-09-30,1627965.791293445
2018-10-31,1530045.9034441658
2018-11-30,1537801.6213512758
2018-12-31,1592677.5615152405
2019-01-31,1523588.2640517827
2019-02-28,1521561.353269462
2019-03-31,1539954.1420970433
2019-04-30,1505698.5562850882
2019-05-31,1426534.3584149017
2019-06-30,1472644.8008756672
2019-07-31,1368424.620431058
2019-08-31,1459327.50089947
2019-09-30,1528944.9945106157
2019-10-31,1563420.5697882425
2019-11-30,1617692.0763123978
2019-12-31,1669552.6815780874
2020-01-31,1569993.2506501835
2020-02-29,1522443.5433956808
2020-03-31,1294077.0118863287
2020-04-30,1560299.1537979085
2020-05-31,1599758.3860760503
2020-06-30,1735525.8443000284
2020-07-31,1986764.4225441583
2020-08-31,1976740.5236501032
2020-09-30,1920369.7173740766
2020-10-31,1970907.4704279494
2020-11-30,2397765.2163230395
2020-12-31,2549602.3677439773
2021-01-31,2508570.3104364295
2021-02-28,2519868.9466524534
2021-03-31,2565603.362824333
2021-04-30,2840646.538315208
2021-05-31,2994300.3065419947
2021-06-30,3061794.3329461114
2021-07-31,3105050.287892922
2021-08-31,3417128.7651398387
2021-09-30,3354872.277971849
2021-10-31,3280399.8696226524
2021-11-30,3081354.8977672635
2021-12-31,2965673.9740711832
2022-01-31,2707746.1044463394
2022-02-28,2563069.0499806628
2022-03-31,2603695.7194051086
2022-04-30,2767072.5344255334
2022-05-31,2726711.437442924
2022-06-30,2691633.741709468
2022-07-31,2955544.841054256
2022-08-31,3094103.938461462
2022-09-30,3060190.821493037
2022-10-31,3102203.5372136105
2022-11-30,3191406.2489071614
2022-12-31,3184581.245715487
2023-01-31,3095763.876956146
2023-02-28,2951139.1433161446
2023-03-31,2970172.07950345
2023-04-30,3221915.1814152384
2023-05-31,3446803.301832731
2023-06-30,3546531.2468343256
2023-07-31,3715382.8779528807
2023-08-31,3703600.2059158445
2023-09-30,3704012.011761508
2023-10-31,3713865.022200047
2023-11-30,4004173.5047487505
2023-12-31,4343749.572164594
2024-01-31,4528370.854498517
2024-02-29,4777812.738658843
2024-03-31,4813978.463078961
2024-04-30,4963227.7290615775
2024-05-31,5295317.849088541
2024-06-30,5285519.304444833
2024-07-31,5504522.278003793
2024-08-31,5657009.652831179
2024-09-30,6041774.965685042
2024-10-31,5359948.02422028
2024-11-30,5562163.747367832
2024-12-31,5571144.934901748
