Entry Date,Exit Date,Stock,Entry Price,Exit Price,Allocation,Return,P&L,Stop Hit,Holding Days
2010-02-26,2010-03-31,TITAN.NS,80.5697,84.9229,20000.0,0.05403,1080.6,False,33
2010-02-26,2010-03-31,HEROMOTOCO.NS,1026.0232,1122.2676,20000.0,0.093803,1876.07,False,33
2010-02-26,2010-03-31,ADANIPORTS.NS,123.7846,145.0475,20000.0,0.171774,3435.48,False,33
2010-02-26,2010-03-31,ULTRACEMCO.NS,970.8499,1078.0115,20000.0,0.110379,2207.58,False,33
2010-02-26,2010-03-31,HINDALCO.NS,142.9019,159.2436,20000.0,0.114356,2287.12,False,33
2010-03-31,2010-04-30,ADANIPORTS.NS,145.0475,135.7524,22177.37,-0.064083,-1421.2,False,30
2010-03-31,2010-04-30,SUNPHARMA.NS,159.6411,135.6949,22177.37,-0.15,-3326.61,True,30
2010-03-31,2010-04-30,JSWSTEEL.NS,103.1927,102.591,22177.37,-0.005831,-129.32,False,30
2010-03-31,2010-04-30,INDUSINDBK.NS,154.5167,176.1363,22177.37,0.139918,3103.0,False,30
2010-03-31,2010-04-30,HDFCBANK.NS,84.9535,87.8952,22177.37,0.034626,767.92,False,30
2010-04-30,2010-05-31,BAJFINANCE.NS,3.7845,4.0281,21976.13,0.064366,1414.51,False,31
2010-04-30,2010-05-31,EICHERMOT.NS,71.6404,75.9117,21976.13,0.05962,1310.22,False,31
2010-04-30,2010-05-31,ADANIENT.NS,71.6935,69.1701,21976.13,-0.035197,-773.49,False,31
2010-04-30,2010-05-31,TITAN.NS,98.2409,102.5202,21976.13,0.04356,957.28,False,31
2010-04-30,2010-05-31,UPL.NS,94.9608,101.6282,21976.13,0.070211,1542.98,False,31
2010-05-31,2010-06-30,BAJAJFINSV.NS,42.5966,42.2248,22866.43,-0.00873,-199.63,False,30
2010-05-31,2010-06-30,IOC.NS,26.064,29.7505,22866.43,0.141441,3234.25,False,30
2010-05-31,2010-06-30,BPCL.NS,22.2807,25.4092,22866.43,0.140411,3210.7,False,30
2010-05-31,2010-06-30,DRREDDY.NS,251.6229,260.1187,22866.43,0.033764,772.07,False,30
2010-05-31,2010-06-30,ONGC.NS,94.4519,106.8357,22866.43,0.131113,2998.08,False,30
2010-06-30,2010-07-30,TECHM.NS,127.2533,121.9232,24869.53,-0.041886,-1041.69,False,30
2010-06-30,2010-07-30,MARUTI.NS,1256.7201,1068.2121,24869.53,-0.15,-3730.43,True,30
2010-06-30,2010-07-30,IOC.NS,29.7505,26.7172,24869.53,-0.10196,-2535.69,False,30
2010-06-30,2010-07-30,BPCL.NS,25.4092,24.5964,24869.53,-0.031988,-795.52,False,30
2010-06-30,2010-07-30,ONGC.NS,106.8357,100.3567,24869.53,-0.060645,-1508.22,False,30
2010-07-30,2010-08-31,BAJFINANCE.NS,5.0822,5.4788,22947.22,0.078032,1790.61,False,32
2010-07-30,2010-08-31,TITAN.NS,130.2404,136.0798,22947.22,0.044836,1028.85,False,32
2010-07-30,2010-08-31,BHARTIARTL.NS,254.7947,272.7241,22947.22,0.070368,1614.75,False,32
2010-07-30,2010-08-31,ASIANPAINT.NS,227.6456,241.5753,22947.22,0.06119,1404.15,False,32
2010-07-30,2010-08-31,TATASTEEL.NS,34.7236,29.515,22947.22,-0.15,-3442.08,True,32
2010-08-31,2010-09-30,EICHERMOT.NS,112.3223,109.3704,23426.47,-0.02628,-615.66,False,30
2010-08-31,2010-09-30,BPCL.NS,29.1856,29.2776,23426.47,0.003152,73.85,False,30
2010-08-31,2010-09-30,IOC.NS,30.3446,31.7292,23426.47,0.045628,1068.91,False,30
2010-08-31,2010-09-30,ADANIENT.NS,83.7154,85.3508,23426.47,0.019535,457.65,False,30
2010-08-31,2010-09-30,GRASIM.NS,280.9942,308.6814,23426.47,0.098533,2308.28,False,30
2010-09-30,2010-10-29,BAJFINANCE.NS,6.9092,6.9173,24085.08,0.001163,28.02,False,29
2010-09-30,2010-10-29,TATASTEEL.NS,42.15,38.1119,24085.08,-0.095804,-2307.45,False,29
2010-09-30,2010-10-29,INDUSINDBK.NS,243.8491,241.7399,24085.08,-0.00865,-208.33,False,29
2010-09-30,2010-10-29,HINDALCO.NS,174.4669,186.3755,24085.08,0.068257,1643.97,False,29
2010-09-30,2010-10-29,JSWSTEEL.NS,112.465,113.1819,24085.08,0.006374,153.53,False,29
2010-10-29,2010-11-30,DRREDDY.NS,299.8044,322.7648,23947.02,0.076585,1833.97,False,32
2010-10-29,2010-11-30,APOLLOHOSP.NS,489.459,449.9759,23947.02,-0.080667,-1931.73,False,32
2010-10-29,2010-11-30,TCS.NS,376.6848,385.6818,23947.02,0.023885,571.97,False,32
2010-10-29,2010-11-30,UPL.NS,112.3109,106.2248,23947.02,-0.05419,-1297.68,False,32
2010-10-29,2010-11-30,RELIANCE.NS,224.4587,201.803,23947.02,-0.100935,-2417.09,False,32
2010-11-30,2010-12-31,INDUSINDBK.NS,268.1057,227.8898,23298.91,-0.15,-3494.84,True,31
2010-11-30,2010-12-31,BHARTIARTL.NS,300.0506,298.9259,23298.91,-0.003748,-87.33,False,31
2010-11-30,2010-12-31,DRREDDY.NS,322.7648,300.3916,23298.91,-0.069318,-1615.02,False,31
2010-11-30,2010-12-31,HEROMOTOCO.NS,1210.3464,1028.7945,23298.91,-0.15,-3494.84,True,31
2010-11-30,2010-12-31,SUNPHARMA.NS,200.9261,217.7167,23298.91,0.083566,1947.0,False,31
2010-12-31,2011-01-31,HINDALCO.NS,218.6923,203.3307,21949.91,-0.070243,-1541.83,False,31
2010-12-31,2011-01-31,WIPRO.NS,76.1216,68.1909,21949.91,-0.104185,-2286.85,False,31
2010-12-31,2011-01-31,TATASTEEL.NS,43.9961,41.3644,21949.91,-0.059818,-1312.99,False,31
2010-12-31,2011-01-31,HCLTECH.NS,77.5376,83.7359,21949.91,0.07994,1754.67,False,31
2010-12-31,2011-01-31,INFY.NS,298.4744,270.2937,21949.91,-0.094416,-2072.42,False,31
2011-01-31,2011-02-28,APOLLOHOSP.NS,461.1363,436.049,20858.02,-0.054403,-1134.74,False,28
2011-01-31,2011-02-28,HCLTECH.NS,83.7359,75.4946,20858.02,-0.09842,-2052.85,False,28
2011-01-31,2011-02-28,TITAN.NS,167.1568,142.0833,20858.02,-0.15,-3128.7,True,28
2011-01-31,2011-02-28,TCS.NS,416.3118,398.629,20858.02,-0.042475,-885.94,False,28
2011-01-31,2011-02-28,IOC.NS,25.6506,22.7578,20858.02,-0.112777,-2352.29,False,28
2011-02-28,2011-03-31,COALINDIA.NS,110.2035,116.5258,18947.11,0.057369,1086.98,False,31
2011-02-28,2011-03-31,ADANIENT.NS,78.6932,85.8337,18947.11,0.090738,1719.22,False,31
2011-02-28,2011-03-31,NESTLEIND.NS,148.8376,155.0386,18947.11,0.041663,789.39,False,31
2011-02-28,2011-03-31,BAJAJFINSV.NS,41.9027,50.7615,18947.11,0.211414,4005.68,False,31
2011-02-28,2011-03-31,KOTAKBANK.NS,40.057,45.2786,18947.11,0.130354,2469.84,False,31
2011-03-31,2011-04-29,EICHERMOT.NS,121.5101,112.7559,20961.34,-0.072045,-1510.15,False,29
2011-03-31,2011-04-29,ULTRACEMCO.NS,1062.8572,1023.0764,20961.34,-0.037428,-784.54,False,29
2011-03-31,2011-04-29,BAJAJFINSV.NS,50.7615,51.1682,20961.34,0.008011,167.92,False,29
2011-03-31,2011-04-29,INDUSINDBK.NS,241.7399,238.255,20961.34,-0.014416,-302.18,False,29
2011-03-31,2011-04-29,SHREECEM.NS,1941.5055,1885.2778,20961.34,-0.028961,-607.06,False,29
2011-04-29,2011-05-31,HEROMOTOCO.NS,1086.9387,1178.9469,20354.13,0.084649,1722.96,False,32
2011-04-29,2011-05-31,ASIANPAINT.NS,243.4013,274.8771,20354.13,0.129316,2632.12,False,32
2011-04-29,2011-05-31,COALINDIA.NS,127.9766,137.3592,20354.13,0.073315,1492.26,False,32
2011-04-29,2011-05-31,HCLTECH.NS,89.2756,88.1793,20354.13,-0.012279,-249.93,False,32
2011-04-29,2011-05-31,NESTLEIND.NS,168.4337,171.2347,20354.13,0.016629,338.48,False,32
2011-05-31,2011-06-30,BRITANNIA.NS,173.1209,197.2879,21541.31,0.139596,3007.08,False,30
2011-05-31,2011-06-30,ASIANPAINT.NS,274.8771,281.4767,21541.31,0.024009,517.19,False,30
2011-05-31,2011-06-30,ADANIPORTS.NS,149.5609,150.0241,21541.31,0.003097,66.72,False,30
