Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2010-01-04,578.17236328125,591.8250826192723,575.835706470607,589.1713243978379,381510
2010-01-05,580.8426513671875,586.5507602599974,570.8117042419617,583.7634714912326,463938
2010-01-06,571.8634643554688,584.1642870503149,569.1929990432387,584.1642870503149,465832
2010-01-07,561.8323364257812,577.1541344963774,559.1618719515354,575.1512861406931,329288
2010-01-08,552.535888671875,567.423722621502,547.4620215650808,562.1662447501338,365802
2010-01-11,557.309326171875,560.7308591754955,547.4452805792869,555.1228668313134,404664
2010-01-12,568.7088623046875,573.766063335,559.5124732972006,565.4709399278197,846940
2010-01-13,570.0106811523438,583.3129252682996,560.1466766313534,575.8189500151515,1135900
2010-01-14,570.544677734375,576.8202850983225,564.636291807762,572.146972603313,467964
2010-01-15,576.4531860351562,578.4894071895588,567.9243732248583,572.4808617023043,270482
2010-01-18,579.3906860351562,583.8303499353746,571.7465133657237,579.1570366711692,241558
2010-01-19,592.926513671875,595.513525906052,579.2070117795912,584.130680225283,619738
2010-01-20,607.71435546875,613.0552850926068,593.5108044510822,597.4831290084376,853970
2010-01-21,600.2202758789062,609.199721012204,594.9294261775345,602.6070117026198,209810
2010-01-22,596.4483642578125,598.401133607393,584.5313899421066,594.178452745851,260942
2010-01-25,578.122314453125,600.3539279905693,574.1499895155848,596.2480716500407,261602
2010-01-27,557.5596313476562,579.156997011934,553.1199677514551,577.8217647421659,1644682
2010-01-28,561.9993896484375,570.4280453828167,558.1272232824545,566.8062351277558,680108
2010-01-29,583.3963623046875,611.7366763096927,554.2048621486192,557.4594909129312,464352
2010-02-01,571.9635620117188,587.8361559459418,568.4752831209194,583.3964912230467,168158
2010-02-02,562.5333862304688,583.1627428313388,559.128559955634,580.8093794588693,525016
2010-02-03,570.7785034179688,573.6993244213012,564.1357137864919,567.139986818491,377452
2010-02-04,561.982666015625,571.6463946062405,557.7933578902353,568.975929697131,369372
2010-02-05,562.0494384765625,566.1385880660727,543.0724544495498,550.7834140972996,302740
2010-02-08,567.1900024414062,579.5575672510316,562.9172427546458,577.4879734719156,159104
2010-02-09,577.020751953125,580.4923648146831,564.1357656910951,568.7089209835663,168510
2010-02-10,591.908447265625,600.1034515980734,579.6577075233233,579.8246115565865,779576
2010-02-11,597.0992431640625,600.5040695092963,581.6606184281643,595.8474627800707,479316
2010-02-15,598.4010620117188,605.8616644407581,593.8445735758174,597.516462451216,147662
2010-02-16,600.02001953125,604.1926205015646,592.1755297070584,604.1926205015646,1731120
2010-02-17,613.9230346679688,625.5562361391972,600.8544423962406,600.8544423962406,793208
2010-02-18,605.0272216796875,615.94273097987,600.854620150862,615.94273097987,406316
2010-02-19,603.0576782226562,609.1997551363825,594.1783913111018,600.8545530112266,619224
2010-02-22,601.30517578125,612.5545325078035,596.181229911188,610.8687854073203,313468
2010-02-23,574.750732421875,604.1925869334433,566.9396156898098,594.1783451610657,632356
2010-02-24,583.3128662109375,587.1016202128483,569.142730653135,574.817467557008,365186
2010-02-25,571.5963134765625,586.4674811925216,568.8090238858887,571.6296861382112,314076
2010-02-26,606.7462768554688,609.5335662294145,573.231936805839,577.3043791637896,674478
2010-03-02,617.0275268554688,621.8844507004193,604.6098826254076,610.1344226278464,771972
2010-03-03,627.0416870117188,630.8971861149752,617.5448647157164,617.5448647157164,872996
2010-03-04,631.0474243164062,635.4036357543694,625.2892353399088,627.5591464240684,626382
2010-03-05,634.5858764648438,637.5734425272012,627.5925726333157,633.9015535911807,246820
2010-03-08,639.058837890625,645.2509938358141,633.2506101203453,637.7403123245333,439490
2010-03-09,625.639892578125,640.5444338495801,622.6356193844725,634.8029095195398,266824
2010-03-10,617.5115966796875,632.5663334582918,612.5378479662086,622.8858988037848,383774
2010-03-11,609.5668334960938,623.6869294194381,599.5525926279205,617.5114808840647,458692
2010-03-12,614.9078979492188,619.2140306244671,606.0453172697096,610.8688280554042,385242
2010-03-15,610.7351684570312,619.213900636926,608.8658516235865,617.5114878198256,134402
2010-03-16,608.0648193359375,614.8745126418432,605.5278859567337,611.9870644627244,199060
2010-03-17,604.3094482421875,614.6908713593394,601.9227123254585,614.6908713593394,266604
2010-03-18,614.2569580078125,618.3627730194871,604.8936248901114,608.8659492657439,569932
2010-03-19,622.5187377929688,625.9235641353677,616.2097565132912,617.5449889217707,353294
2010-03-22,618.1458129882812,620.2154067654559,614.2068613823675,617.5449421507499,228770
2010-03-23,616.8773193359375,624.9888718147395,614.8744708965351,624.888713093547,222806
2010-03-25,627.7594604492188,631.4647219483617,615.9760597988615,620.8830222236647,779012
2010-03-26,660.2390747070312,665.9471852884632,630.8973334311756,634.9030307862942,1103806
2010-03-29,662.1917114257812,685.9588280079796,655.0982904464252,657.6018507920802,1039710
2010-03-30,661.2738647460938,674.1922222811321,658.1026877066754,664.278137730806,420602
2010-03-31,672.5565795898438,682.3037598600492,660.8732960305963,664.278122368639,546246
2010-04-01,666.648193359375,677.1631492191382,664.3449091642906,669.2852856769914,283844
2010-04-05,699.6282958984375,704.3350222474451,669.2851751687807,671.2880235732758,766322
2010-04-06,681.168701171875,705.6368068775392,677.129631901712,701.3474223170138,602132
2010-04-07,693.4695434570312,698.9940831931425,682.637488123198,682.637488123198,496710
2010-04-08,692.6016845703125,699.6449857252328,688.0952757688955,689.98125870586,365374
2010-04-09,690.4153442382812,700.3294290074657,688.6628516251787,693.6532666718368,404902
2010-04-12,692.3514404296875,697.6422501280925,685.9756728668801,695.2221413065428,252930
2010-04-13,700.2960815429688,705.0028090312601,691.6504831026377,692.6519075472844,546386
2010-04-15,697.24169921875,708.574468407725,692.0009281198968,700.9970405071813,535712
2010-04-16,684.4735717773438,695.8063415116914,680.5346195371419,694.3209116297854,445960
2010-04-19,671.2213745117188,684.306636331616,669.3019778488374,681.6361714093463,276458
2010-04-20,692.802001953125,702.5658888373579,669.0181749274294,669.0181749274294,542440
2010-04-21,698.760498046875,706.9555030371148,694.554483472591,696.0733265964222,482284
2010-04-22,705.8539428710938,709.9430921465922,693.1859416188752,698.2598085023108,484232
2010-04-23,703.4505615234375,712.2463564282527,699.6117682130537,706.3379691106254,259954
2010-04-26,695.7894897460938,709.342129621062,694.4042188913949,701.0636734090862,328098
2010-04-27,676.9461669921875,703.9679182599342,673.891855264043,699.9956341931958,709040
2010-04-28,689.3970947265625,691.9841071871028,665.9303718497947,672.6232397404787,488144
2010-04-29,693.920166015625,700.6630720871334,681.969821950459,695.9730528518364,635406
2010-04-30,698.7771606445312,704.1514217101013,683.8392494113107,700.6631436543033,783198
2010-05-03,699.1943359375,714.0153799495122,692.6516659164272,699.3278265517662,425426
2010-05-04,691.1329956054688,710.9111264250263,688.6628481521922,710.9111264250263,238912
2010-05-05,692.1679077148438,694.3209539892863,677.9643545924233,681.3525154742438,235210
2010-05-06,689.8311157226562,707.6731416020318,677.4134304872202,692.1677723222857,265376
2010-05-07,686.9102172851562,692.418050075645,676.3618503728081,684.3064982122495,305300
2010-05-10,708.1405029296875,710.3102556783124,691.2498611996036,694.3208795599714,629406
2010-05-11,709.6592407226562,722.0268458516534,703.116651534935,711.6787958186432,712450
2010-05-12,716.1852416992188,719.3564184860483,696.3570741779097,709.6759840841478,1242476
2010-05-13,735.59619140625,739.3849459625643,716.8528990765719,725.1146496014359,979350
2010-05-14,729.0869140625,742.18888171877,723.6959459565195,737.7158858689613,514696
2010-05-17,723.3452758789062,726.0324467511591,706.3711868835558,724.3634066436852,244978
2010-05-18,728.4359741210938,730.956241418242,716.3688446566234,722.6944914581546,288866
2010-05-19,714.9000854492188,727.6349133740504,709.3922517939593,724.3635776917029,351366
2010-05-20,713.1474609375,728.4191787006854,709.62585132779,725.8989932065941,235480
2010-05-21,700.579833984375,712.0127627819759,698.6604371789384,699.6618615991662,409132
2010-05-24,685.1244506835938,716.0351147919984,679.7167755091541,714.3493675086997,273618
