Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2010-01-04,133.35311889648438,134.15654389973224,132.64065534832528,132.9438305142303,9162186
2010-01-05,134.61892700195312,136.39252313191804,133.62600933465166,134.61134475859376,14659997
2010-01-06,135.64971923828125,137.54459293983425,134.92967333819533,135.6724532445968,20410054
2010-01-07,134.36880493164062,135.93775685615927,132.86806775506258,135.93775685615927,10852286
2010-01-08,132.48150634765625,134.91451585947715,132.03431938766747,134.77808637073088,20580934
2010-01-11,131.79176330566406,133.67147242889249,131.2687794111719,133.0954382816568,18184672
2010-01-12,127.75192260742188,132.18591935844898,127.33505187914749,131.791782638702,22781935
2010-01-13,127.4335708618164,127.97170649361541,124.55337481849726,124.55337481849726,31684856
2010-01-14,126.62255859375,130.51840597717953,126.00104376816003,128.39615433575625,33858143
2010-01-15,127.70647430419922,128.63874690412683,125.88739712841767,127.37297003696622,19521925
2010-01-18,130.8746795654297,131.70083880941286,125.86464839524947,126.42553088291086,22909535
2010-01-19,131.2005615234375,132.79224717388834,130.21523897509707,130.97318331132288,20804140
2010-01-20,133.0878448486328,134.0959140629443,131.72353749225553,131.85238471398407,27480893
2010-01-21,129.26023864746094,132.33749716862462,127.68370453145567,131.8599939488015,33727122
2010-01-22,127.44116973876953,128.39618895979277,124.43212577584849,125.66757351848537,32621154
2010-01-25,125.94042205810547,127.20618582084802,125.09909848247162,126.06168704816992,15865157
2010-01-27,119.34628295898438,125.42501536627354,118.23968260839902,124.30326325194373,38013514
2010-01-28,119.45996856689453,122.45386014915294,118.12599009527179,121.27146291187205,56519067
2010-01-29,125.87220001220703,127.18345728544149,117.48173606583683,117.48173606583683,59256560
2010-02-01,126.69840240478516,128.60842831597515,123.54534638289259,124.31844271888642,28587542
2010-02-02,124.15166473388672,127.7064388513208,123.66657931792892,127.48663014906748,29159537
2010-02-03,127.25167083740234,128.09299444136207,124.79592748708544,125.07636868840534,18166148
2010-02-04,125.63722229003906,128.69932838485272,125.13698517037705,126.54676051727428,18276049
2010-02-05,120.99103546142578,122.75704927564503,119.75558783234244,122.75704927564503,27352501
2010-02-08,122.08246612548828,128.85092740488926,119.14920713540886,128.85092740488926,22972361
2010-02-09,123.15118408203125,124.00007724332674,119.967812463876,122.18101319947407,20874557
2010-02-10,121.24118041992188,124.53824811068787,120.79399339081641,124.00009959376972,19253811
2010-02-11,125.22034454345703,125.78880908363014,119.77071045339495,119.77071045339495,19596379
2010-02-15,123.90155029296875,126.12233334394875,123.16633986413356,126.12233334394875,10649243
2010-02-16,126.1905517578125,127.00155919825372,123.84850363540325,123.84850363540325,11282936
2010-02-17,127.47904968261719,128.50228350465983,125.91011066237334,127.335037959954,28238435
2010-02-18,127.34262084960938,129.30570927837434,126.4785632311237,127.33503860692886,25365791
2010-02-19,126.35729217529297,126.88027606690879,123.86363770675098,126.12231899476937,18276038
2010-02-22,126.06170654296875,128.85095440839157,125.62968404670018,128.11574394630912,12621301
2010-02-23,128.50987243652344,129.15412137883774,125.15216007217641,125.80400397941166,20701076
2010-02-24,127.50935363769531,128.22941218158797,126.27390619397615,127.35019016697727,17102217
2010-02-25,129.09349060058594,130.03334525879438,126.22844588901815,127.52453875585924,23944123
2010-02-26,132.2086639404297,134.45976350876717,127.63825005083196,128.13848733163692,35508192
2010-03-02,135.99838256835938,136.88518696918214,134.1717362303541,134.1717362303541,28273393
2010-03-03,137.69615173339844,138.32524878376267,135.72549409148604,136.4152236300613,25091231
2010-03-04,136.1878662109375,138.63602733422056,134.7932424380727,137.33993455019797,17625426
2010-03-05,136.69569396972656,137.7947121211475,135.16464062334504,136.14239377245843,14922803
2010-03-08,140.03065490722656,140.49300633713887,137.94630143401767,137.94630143401767,32294977
2010-03-09,140.24290466308594,141.67542720407744,137.80231258908356,139.7654013900508,34059690
2010-03-10,139.12869262695312,140.9022885615084,137.7037526296664,140.22014117201925,22191510
2010-03-11,141.10691833496094,141.99372257240896,138.41621482127175,138.7042255107518,21146158
2010-03-12,141.9861297607422,142.7819724817348,141.15997079689706,141.7435870960408,20491075
2010-03-15,140.03065490722656,141.7360361782051,129.7604815108278,140.9780917737444,16240301
2010-03-16,141.0539093017578,141.72089233281733,138.27981304014668,139.61380454603741,14485526
2010-03-17,143.79005432128906,144.55558086702544,141.28124824349146,141.73601737019797,23114982
2010-03-18,146.07908630371094,146.96587804153032,143.85830311545303,144.01746662263832,25947581
2010-03-19,145.00279235839844,146.87491943212459,143.77491423573557,145.980545510645,17969248
2010-03-22,141.77395629882812,143.85831009001393,139.61380551125632,143.85831009001393,20087584
2010-03-23,140.2959442138672,143.40353181710316,139.76539071629543,142.34239937818936,20200125
2010-03-25,141.56170654296875,142.49397891284357,138.34043650081742,139.462188608645,26513751
2010-03-26,143.63088989257812,144.29788551449684,141.77392746817577,142.34237938170062,21544611
2010-03-29,144.4040069580078,145.37417783712093,142.41818446423443,143.25192585859,21909514
2010-03-30,145.49542236328125,146.79908441395344,144.74504764642822,144.9345400664056,18572757
2010-03-31,144.38882446289062,147.16290702504676,143.81277767484337,146.25336883899,28237176
2010-04-01,144.4115753173828,145.81378124467795,143.14579886172905,145.0709886709438,19839534
2010-04-05,149.3685760498047,150.17958354167587,144.767846024976,144.767846024976,28263136
2010-04-06,151.25584411621094,153.05975633938732,149.36855266716995,150.36147024731656,30864163
2010-04-07,149.67172241210938,152.95362452077248,148.57269173345193,151.998618270145,19863459
2010-04-08,145.6925048828125,149.77026275105948,145.17710323830295,148.89104069755322,23439388
2010-04-09,148.29983520507812,148.8531353133077,145.82892760090067,145.87440833038931,12637042
2010-04-12,146.23065185546875,149.30032768831057,145.7152374940058,148.55754783669445,20644701
2010-04-13,142.82749938964844,146.51110855458748,142.54704542834628,146.23068003705592,21935727
2010-04-15,139.15899658203125,145.20741197413713,138.74970818449378,143.6763588824164,29869411
2010-04-16,139.83360290527344,142.02406976920926,138.74973647746353,139.00743097799426,24517465
2010-04-19,139.43185424804688,140.45508795448458,136.8169476951502,138.52231600274274,23085573
2010-04-20,141.43284606933594,143.2519099041356,139.4621755589692,139.76536346633802,24374751
2010-04-21,144.29791259765625,144.69204933955692,142.34240609783257,142.48641784433255,20722333
2010-04-22,143.0775909423828,146.23065886847067,141.75876417242958,143.32771589293603,23026162
2010-04-23,148.20889282226562,148.527219776687,143.25191291759563,143.85827602320614,26901132
2010-04-26,145.5485076904297,151.3089005398778,145.2832309604008,148.5727158446726,31212868
2010-04-27,143.54751586914062,145.52575590381562,141.75875555508412,145.22258071769647,15461006
2010-04-28,139.3788299560547,142.6379986737862,138.4617092981684,141.17516005584037,21680010
2010-04-29,143.56268310546875,144.16146402205337,139.91696007135636,139.91696007135636,25572305
2010-04-30,144.30551147460938,146.1928034406661,143.57788313622976,144.44952323770855,18736987
2010-05-03,142.02406311035156,145.2150170188547,141.43286442489065,143.41868695522186,16415217
2010-05-04,138.73455810546875,143.49446358622785,137.79470350878978,142.7819999374899,19283099
