Price,Close,High,Low,Open,Volume
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Date,,,,,
2010-01-04,237.02247619628906,238.73220669982737,227.71863828880723,227.71863828880723,3739348
2010-01-05,241.385986328125,246.70396202044847,235.16593658581866,238.10288851463352,5197364
2010-01-06,247.17593383789062,248.9905554056958,241.73209474265965,243.28446289214034,6827232
2010-01-07,242.46640014648438,248.476642742408,239.39308423398083,248.1724686411963,3304396
2010-01-08,242.48736572265625,244.6061618312891,240.52590633904353,244.39637953126228,2527272
2010-01-11,243.1796112060547,246.70396378917556,241.2496244537006,243.76701183930442,3167868
2010-01-12,250.10243225097656,251.5289620454693,239.68676219077443,239.68676219077443,4942468
2010-01-13,242.0048828125,249.6409644951674,238.01901867350153,247.9836790209977,4584900
2010-01-14,245.79144287109375,247.96268460705528,241.48040625837976,243.34747389524884,4109484
2010-01-15,242.76002502441406,247.98360850602842,241.26010232727504,246.60955004532383,3066960
2010-01-18,248.30880737304688,249.8297289430403,241.28110080824968,242.29853977136608,3562064
2010-01-19,243.2635498046875,248.571052234611,241.39648221422877,247.33333154375472,2497004
2010-01-20,240.29507446289062,246.47317725597125,239.20421697691253,244.39632780364227,3390516
2010-01-21,240.16925048828125,245.8648448048437,238.94202920880286,239.78115837195935,4982164
2010-01-22,237.70433044433594,239.9490165272425,230.5507587918152,236.42466347440921,3873740
2010-01-25,224.72923278808594,241.78453976477527,221.5510266146502,239.15176231357572,10824500
2010-01-27,212.06890869140625,225.30616523289297,208.7333653693934,223.37617853003914,11011728
2010-01-28,214.46041870117188,219.57909856522096,213.29612962743718,213.97792202604958,4491372
2010-01-29,213.46395874023438,216.49531527953118,207.21244929007455,213.97792789255988,3918172
2010-02-01,219.67352294921875,221.4042267854194,211.3346771929791,214.2296701399868,3360188
2010-02-02,213.93597412109375,223.52302721570697,212.9290217024332,221.3203131980956,2531300
2010-02-03,221.1524658203125,221.87623003973053,214.8589975202673,215.02683358487707,2630556
2010-02-04,213.34860229492188,220.98468325091133,211.0409969603652,220.8378202737975,3005292
2010-02-05,204.79995727539062,210.83119801461467,202.62871573090783,209.57250429512445,3751776
2010-02-08,209.7403106689453,211.8800923805378,202.9014137988941,208.73335833528228,3964924
2010-02-09,207.93621826171875,212.79267082288115,205.85936837067084,205.85936837067084,2370192
2010-02-10,201.04486083984375,210.83121019595066,199.29318376731655,210.4116455985458,4258584
2010-02-11,207.01316833496094,208.94316803019547,202.02035222196608,203.4678551944158,2966324
2010-02-15,208.8697509765625,211.82767626877904,207.6844758663939,209.78229885494335,3113388
2010-02-16,213.0443878173828,214.60726833430186,207.78934436473705,209.00607900464058,1299928
2010-02-17,215.87644958496094,218.35186494181363,214.39747437656422,215.23660343478952,2328552
2010-02-18,212.55140686035156,217.08271175250988,210.01303361134913,217.08271175250988,1857412
2010-02-19,210.13890075683594,213.34856690161678,208.34526492334902,209.99205060817934,2149848
2010-02-22,208.1879425048828,215.00586669367308,206.86630388039563,211.88010555932837,2741260
2010-02-23,205.71249389648438,208.5340680581534,203.90837145177903,207.4746701294336,3033172
2010-02-24,200.82460021972656,205.35590573991502,199.5029742445409,204.53774961979747,3799488
2010-02-25,200.78265380859375,204.07623880092981,199.81766025603008,199.96451044118456,3644784
2010-02-26,211.40811157226562,216.46385985066877,200.83507859327975,202.43991830040818,8142060
2010-03-02,221.73989868164062,223.73283059978215,213.55838870190175,213.55838870190175,6109472
2010-03-03,225.80963134765625,226.9109882202748,219.58958217399237,222.78876166112244,3781732
2010-03-04,226.04042053222656,227.52986968973363,221.76085663670696,225.3061825072959,2624304
2010-03-05,225.8621368408203,228.62077943248838,224.0475146761585,225.9355555301711,2153996
2010-03-08,235.396728515625,237.4735785379042,227.61380981769085,227.61380981769085,7297960
2010-03-09,236.97007751464844,239.25670967305666,232.669540427145,235.375737179456,5358980
2010-03-10,237.59942626953125,239.0784017179177,234.9561744288449,234.9561744288449,3402064
2010-03-11,236.01559448242188,237.87216277575746,233.34087007101874,233.34087007101874,5573876
2010-03-12,239.3301239013672,242.28804911169604,236.00507967820562,236.00507967820562,4017164
2010-03-15,231.80941772460938,239.15179747154272,230.99126171688488,239.15179747154272,2656692
2010-03-16,237.94554138183594,239.1517894426211,229.5018049563399,231.59962767074884,2447432
2010-03-17,235.64846801757812,241.0398628885184,224.73978840904638,236.00508768458067,2328192
2010-03-18,228.253662109375,235.69043506416136,225.77822050538822,235.69043506416136,5245816
2010-03-19,225.1907958984375,230.5507438164268,224.13141066619716,225.53694180924492,4432196
2010-03-22,219.96722412109375,224.2572615854157,218.80292220167314,223.4181324494553,3922832
2010-03-23,220.05111694335938,222.15943914452208,216.28553518224953,221.3203100070546,3139500
2010-03-25,221.71890258789062,224.0474808344763,217.81695720061342,220.18748166100852,6435736
2010-03-26,226.75367736816406,228.43193565105074,222.3692224824848,224.04748076537146,3605436
2010-03-29,232.2709503173828,237.05399695948768,216.075767140064,229.16618766902252,3289808
2010-03-30,230.61361694335938,239.15174350777627,228.66263195041768,234.11696996024415,2499226
2010-03-31,227.1312713623047,234.5365963194226,223.7328085641004,233.65552095935166,4349328
2010-04-01,224.1523895263672,233.23597343973412,221.76086616364276,231.5996612420303,5670058
2010-04-05,230.25701904296875,230.7185554111268,223.92160460532995,225.30616249342856,2741756
2010-04-06,223.8377227783203,232.39685119343912,223.46010438040346,231.2010766721637,3461256
2010-04-07,222.32728576660156,227.0893336044535,220.01968052905053,225.80966673072234,3736486
2010-04-08,219.85183715820312,228.1172644020101,218.42530736084743,224.88661205495586,4282900
2010-04-09,221.9287109375,223.41816021731032,218.92881366031935,221.11055480661508,3040418
2010-04-12,217.29251098632812,223.0615240877318,199.8595946229021,199.8595946229021,2716380
2010-04-13,213.26466369628906,220.22945085419389,211.92206476804856,218.17357423828832,5941176
2010-04-15,214.3135528564453,219.85180967211286,213.13877731571247,217.33442253846272,5727760
2010-04-16,210.9780731201172,215.55132494747804,209.78231138440685,214.3975222348638,4684012
2010-04-19,211.292724609375,213.74717995808922,205.79642606198715,207.68446666806042,3964724
2010-04-20,214.3345489501953,217.8379154384904,211.25074700411295,214.81704561292122,4393500
2010-04-21,213.24368286132812,216.49530812876597,212.7192271730317,216.49530812876597,2358306
2010-04-22,213.306640625,217.75402795719927,210.2438241588009,213.55838194646324,5861678
2010-04-23,218.6350860595703,219.53716012370776,211.46054219273526,213.97792959979162,6228608
2010-04-26,222.09645080566406,223.41808918212772,219.85179104494821,220.27135553167523,4647798
2010-04-27,225.20130920410156,226.85859457046507,222.36924802640675,222.36924802640675,5384902
2010-04-28,220.22943115234375,225.20126056952347,218.17355472035808,220.69094189020836,3507390
2010-04-29,219.64207458496094,224.0055567970697,216.55828492718803,221.9496799530933,4087402
2010-04-30,220.75390625,223.1454037853787,217.96379164780646,220.31334296993558,5085548
2010-05-03,220.3762664794922,224.73974777728688,218.63506345965433,220.2713753483739,2645630
2010-05-04,217.27151489257812,224.8656494135395,214.8170722594524,222.36923495607377,4344102
2010-05-05,217.50230407714844,221.53011409005464,210.8731755563901,214.01991013153292,4318424
2010-05-06,217.25051879882812,218.71899472335812,212.90803595099317,217.33443683043885,3504234
2010-05-07,219.85183715820312,221.82379578106915,212.04793350741744,213.9779331119916,3518742
2010-05-10,232.29193115234375,232.85833307059133,221.55106294669696,224.25725950672265,5213278
2010-05-11,236.508544921875,238.18680314291626,231.18006994843142,233.6974572799933,7827086
2010-05-12,229.94239807128906,237.47358855432373,224.8866492316564,236.00511230001254,4138028
2010-05-13,237.7672882080078,241.20772340077448,231.6416290579126,232.3968659015443,4696740
2010-05-14,234.87228393554688,237.74631712833332,232.58565149100414,236.17294970431678,3763568
2010-05-17,233.02615356445312,235.3337585127183,227.4878965669793,231.5996238986144,2616144
2010-05-18,235.14501953125,238.52250993284665,229.66970582329589,233.29892477837757,2668758
2010-05-19,220.43922424316406,234.51560973762142,215.90790662833288,232.85832464777002,5216126
2010-05-20,218.88685607910156,227.06836574686184,216.9988153865415,223.2083663204342,2376514
2010-05-21,225.87255859375,227.36203318891202,211.96400953598675,213.97791419500822,3328598
2010-05-24,222.03359985351562,241.2496541398893,219.87283183837724,241.2496541398893,2522056
2010-05-25,216.47433471679688,225.93551019864964,212.8241180097772,218.63507678461033,3382896
2010-05-26,217.0617218017578,225.1803116618321,214.71217043403092,222.369223898459,4813004
2010-05-27,221.71890258789062,227.19421511585938,215.6561894174547,218.1945499494659,4841974
2010-05-28,229.06124877929688,230.6555887916448,224.46701228472935,224.802658770247,2678902
2010-05-31,240.2845916748047,242.5502245854084,232.0191659924948,232.85829498342608,4970220
2010-06-01,236.7393341064453,245.02573525593985,234.15900147990826,239.99095987396848,5718168
2010-06-02,241.06080627441406,242.84395560594868,236.63440540835978,238.0609351168626,4822088
2010-06-03,244.58514404296875,247.12350428795654,241.9418926671287,245.44524619432016,3806716
2010-06-04,245.5292205810547,246.4942140847694,240.05390741536334,246.28443177491002,3537110
2010-06-07,243.4523468017578,246.2424614935157,235.37572866141514,240.38953049874632,3295406
2010-06-08,239.46649169921875,245.86485174900076,239.04692710579042,243.3474641884308,2473282
2010-06-09,242.6551513671875,245.02570135819192,239.48744408256772,241.1657023110485,2263042
2010-06-10,248.69691467285156,251.69681178227864,242.50833687205096,243.34746606537985,2620950
2010-06-11,254.5498046875,258.6615319471804,251.71774411873525,251.71774411873525,5418614
2010-06-14,258.3258972167969,259.50067282906616,252.6827489269282,254.25611598126773,3005094
2010-06-15,255.15823364257812,259.29093490219225,253.83659484761537,259.29093490219225,2226442
2010-06-16,264.03192138671875,266.822035414007,256.1441143069299,256.35389654632957,6623234
2010-06-17,266.297607421875,269.02477681678846,262.2278264339824,262.2278264339824,6815058
2010-06-18,259.7943420410156,269.7799719624685,258.03216602942166,265.79410923518475,5478530
2010-06-21,267.2415771484375,268.52124357822873,262.227776931864,263.06690581804594,2801608
2010-06-22,265.6473388671875,270.61916917384923,263.6544070011785,267.26265234688674,3188464
2010-06-23,264.70330810546875,267.22069562674494,263.1089421887751,264.3256897340013,2551704
2010-06-24,265.185791015625,267.5982873810854,260.17198909968226,265.1648179079981,3510454
2010-06-25,257.3399353027344,266.63330136869615,253.03939818388443,260.1300501158011,2249686
2010-06-28,261.3258056640625,263.06700902930334,255.09528148296081,255.9344106983653,2442170
2010-06-29,257.5707092285156,262.4376481760342,255.51483251671434,260.9691721270876,1652116
2010-06-30,263.2138366699219,265.56341375112515,255.5148366464296,255.5148366464296,3473310
2010-07-01,258.0951232910156,264.3675923437073,257.1930493347401,262.22782354683943,2102312
2010-07-02,252.7247314453125,260.7174577161565,252.15832946765505,259.6685461959084,3142034
2010-07-05,255.9763946533203,257.6127071078699,251.15140095341724,252.57793107318838,1504652
2010-07-06,263.0879821777344,264.0110294364568,256.03930188891184,256.03930188891184,2641624
2010-07-07,260.82232666015625,264.32568059621127,259.71047030008697,264.3047074892304,2404716
2010-07-08,265.0830383300781,269.66335264370707,262.12180666572823,265.33867337790116,3236166
2010-07-09,272.0707092285156,273.0720030072906,266.38260744277574,266.38260744277574,2743146
2010-07-12,271.75115966796875,276.09713834300743,269.34384682744593,273.54068335834995,1742978
2010-07-13,269.3224792480469,273.4980425277257,265.18956515360674,272.6884881762123,2781902
2010-07-14,262.7609558105469,273.11459273656914,261.6105459286325,267.5756072364515,3296870
2010-07-15,262.5692443847656,264.5078843145988,259.6080120055931,264.16702883335444,3474800
2010-07-16,257.3284912109375,265.40263302913917,256.41241781520137,262.2496616260323,4613614
2010-07-19,258.3936767578125,261.5679467014467,253.51510359672133,257.7758616403637,3115018
2010-07-20,256.5402526855469,262.0366414200137,255.64550382440365,260.1193001413307,2266842
2010-07-21,262.78228759765625,264.57181141719695,257.13678243240463,258.2019720862257,5724102
2010-07-22,269.8125305175781,270.1320874033076,260.332342907604,263.52791176489865,3952244
2010-07-23,267.53302001953125,273.1146029060082,266.72346555251346,269.2799204939114,1972120
2010-07-26,264.3800964355469,271.8151261053235,263.52794463398186,264.1670584851556,1555444
2010-07-27,272.6246337890625,273.81766702417366,263.8261827165646,266.29741755031,4084588
2010-07-28,276.118408203125,280.3578674793511,272.2624275369383,273.2210980564345,6198744
2010-07-29,274.35028076171875,277.88670550932136,271.2612305053028,275.24502974409216,2166672
2010-07-30,281.84912109375,283.29778911007776,272.68849206349205,273.11456783234127,4685954
2010-08-02,281.8065490722656,285.47079060918696,278.4405397956771,284.6399375846515,2403426
2010-08-03,277.7162780761719,283.3404853933729,276.9493466251013,282.9144094754881,1414664
2010-08-04,279.8679504394531,281.2100999551192,273.7963687358767,277.4180139625714,2163534
2010-08-05,274.94671630859375,281.1674387677469,274.0519675055503,281.1248155831806,1853342
2010-08-06,276.41668701171875,280.35788832941955,273.5406752393425,273.96675105747227,2275590
2010-08-09,276.651123046875,289.60384298052213,265.2962140116952,280.230171609113,1715038
2010-08-10,273.1572265625,279.8466228419968,271.09076902014914,276.9493121620384,2192742
2010-08-11,267.12823486328125,275.6710496712941,264.3587420922404,274.8188980494354,4120430
2010-08-12,269.727294921875,274.81890621488407,262.07922868733215,264.16701062515983,5151604
2010-08-13,267.3412780761719,271.68725663505114,265.7860909331637,271.1759604506646,2749328
2010-08-16,266.3825988769531,270.7498758845943,263.357445053664,267.5756059315783,2474604
2010-08-17,264.25225830078125,268.34257622771725,262.0792557725407,266.40393623115494,2019616
2010-08-18,263.3787841796875,266.29739320699423,260.33233159915756,265.8713173778631,2983554
2010-08-19,262.4840087890625,266.02043296237304,262.0366343705265,264.63568652057756,2556726
2010-08-20,263.1871032714844,265.0192245422783,259.1819791864469,260.7584653052642,4478298
2010-08-23,265.9352111816406,270.34508514704663,264.18828486259315,266.29736519606644,3858098
2010-08-24,262.5052795410156,268.3425229700578,261.65312797489565,267.25603492437523,1777466
2010-08-25,262.1005554199219,264.06049382216884,258.7558445741161,263.31486112480894,2257516
2010-08-26,263.7834777832031,266.0416999887208,259.4375260800237,263.3148048757933,2815598
2010-08-27,260.6732482910156,264.38011407628557,259.4802408903431,263.95403814707316,2666498
2010-08-30,259.6293029785156,263.8687627921559,257.45632659444146,261.8236039590969,1546066
2010-08-31,267.021728515625,268.2147356414238,257.7758777808759,260.3323327671325,4321692
2010-09-01,268.4917297363281,271.3677419643771,266.38264890130387,269.27995972251307,3435526
2010-09-02,266.83001708984375,270.43036343972244,265.9139435550767,270.00428756412987,1282542
2010-09-03,268.7047424316406,273.0293966611454,265.8713276561397,267.5330338562329,3344436
2010-09-06,270.2386474609375,271.7512117489544,268.4491234275949,269.74864975939505,1960008
2010-09-07,268.10821533203125,272.6672319023262,262.03663477028084,262.03663477028084,2154446
2010-09-08,270.6645812988281,271.8362894429789,267.36249471076684,268.4276839327221,2019674
2010-09-09,279.3352966308594,280.35788899905504,271.60203611669476,272.6885242544001,4424118
2010-09-13,283.2765197753906,284.66126629427055,277.65233933396337,280.3579105916862,2926698
2010-09-14,285.8755187988281,289.0923853879501,280.12349639243564,283.7664387153644,3402996
2010-09-15,288.0698547363281,291.8619399791753,284.19257513300715,285.89687843215563,3218328
2010-09-16,287.4094543457031,291.0098004158046,283.7665110935957,288.06986670043045,2940474
2010-09-17,289.73162841796875,292.2880839628332,288.5386210314875,289.73162841796875,2231462
2010-09-20,293.0549621582031,295.69663760885584,287.13252349245556,292.28803083526674,2709896
2010-09-21,291.98974609375,301.00125983742805,289.73154951191026,293.99230759296773,3773068
2010-09-22,290.5411376953125,298.95613588278593,286.10993837409654,292.71411416679723,4169084
2010-09-23,294.3331604003906,295.6966081752299,291.0523715062595,293.14015334950744,2001696
2010-09-24,294.3970947265625,295.9096586951577,291.9045355618368,294.4823150921744,2178346
2010-09-27,295.9096984863281,299.9574193439525,293.8219162733103,298.2531158249528,2488416
2010-09-28,303.0677490234375,305.070310733564,296.46357330225,296.46357330225,3650554
2010-09-29,297.720458984375,306.8597899031554,296.6765680952234,304.64419058866275,2426774
2010-09-30,294.6314392089844,300.21302223210415,290.6263159671697,297.72048900546326,4695752
2010-10-01,304.96380615234375,306.68940823716986,296.67662521994305,297.74181490262674,3136178
2010-10-04,311.46142578125,316.7873735545272,305.0702884533174,306.7745917407661,3647092
2010-10-05,317.1495666503906,319.4503867739801,312.1005779419012,312.3136158790629,3023730
2010-10-06,315.4878845214844,323.6046246793377,313.5066213150822,318.7047521529225,2346064
2010-10-07,309.0967102050781,318.2786389660984,306.34851595264354,317.38389014233104,2312254
2010-10-08,300.4047546386719,311.9301004816846,295.73921916275384,310.6305744190492,5141872
2010-10-11,301.4486389160156,306.6893662359789,298.67914612032075,301.7042740026074,2266932
2010-10-12,304.7933654785156,306.22073525703985,300.38349059332467,302.0877940860528,2924386
2010-10-13,313.5278625488281,315.1895685473309,304.3033372139677,306.26327546372767,3440122
2010-10-14,306.0289306640625,317.00038205925864,302.5138054597764,313.59177580055695,3184188
2010-10-15,302.7908630371094,309.5441559688026,300.6178602411198,308.5002647633811,2345872
2010-10-18,298.76434326171875,308.47886588116546,293.14013774342794,308.47886588116546,4708334
2010-10-19,298.8922119140625,303.25948942242906,296.59139189765614,301.7682239317673,4203720
2010-10-20,297.86962890625,302.47126908497654,296.1227282497533,298.21051040512396,2898738
2010-10-21,303.7068176269531,304.6441895651973,297.44349831868806,298.65782992241424,4364822
2010-10-22,298.9348449707031,306.0929409893662,297.8696552066889,304.64427250806307,1825938
2010-10-25,304.5164489746094,306.88116500329426,298.72180116847437,299.7443937241479,4055336
2010-10-26,305.47503662109375,310.35360951836964,304.6441836463923,306.43370712907193,4422230
2010-10-27,310.58795166015625,312.82484955289226,305.1128621669552,306.7319709699889,4016586
2010-10-28,312.33489990234375,315.1683147366687,307.34980720417514,312.3136013107426,6460580
2010-10-29,312.6118469238281,317.55431623261694,300.6391002963297,316.29738731188024,5639100
2010-11-01,326.587158203125,328.50449964071674,315.2322257315887,317.00045101516633,7258484
2010-11-02,322.7950744628906,328.9305775024858,319.55690819542014,328.078425747298,3010558
2010-11-03,323.7750549316406,328.0784106956658,320.8351211088784,323.5406924052299,3485120
2010-11-04,331.27392578125,339.13502928547535,326.11841913917823,326.821428587314,5243630
2010-11-08,330.99700927734375,340.1789645274679,329.9318196664807,340.1789645274679,2619186
2010-11-09,332.7865295410156,340.221558148129,328.5683943295179,340.221558148129,3576570
2010-11-10,343.5661926269531,345.0574578475176,332.722584899044,334.8529637855647,6669918
2010-11-11,346.6766357421875,352.2369205437531,343.8432208558169,343.8432208558169,5873120
2010-11-12,329.4205322265625,347.2517949774577,327.22623134072086,346.39964333334126,5882410
2010-11-15,340.8393859863281,342.47976762861714,326.4806244473589,329.6974919569424,2646680
2010-11-16,331.61480712890625,341.6702121335134,330.20876211714125,340.43458184722044,3866078
2010-11-18,332.50958251953125,335.6625280049281,323.81762533206046,335.6625280049281,3537676
2010-11-19,320.8350830078125,334.8955846535732,318.27862816312876,334.8955846535732,3235580
2010-11-22,326.6084289550781,328.93054747711926,312.9101063442064,322.11333405790435,3477512
2010-11-23,324.7337341308594,332.1261400596425,317.0004467022117,328.07841930202017,5636698
2010-11-24,334.3204345703125,339.9446151282416,327.20496249401526,328.0784128075113,5661098
2010-11-25,332.5734558105469,340.349339051163,327.14098943696575,336.1738014710212,8334036
2010-11-26,322.7311706542969,336.38689699027265,319.64212061860405,335.279110138336,3213206
2010-11-29,328.2701110839844,330.1235304443369,316.3399884741847,323.8176136945634,2520902
2010-11-30,326.0758361816406,333.8304216952748,322.53941189958266,329.91051875376246,3357116
2010-12-01,341.92584228515625,344.2266620934288,326.80015081958237,328.93052989924064,3998890
2010-12-02,336.4081726074219,347.16658751422415,333.0208644950502,345.12142869345803,4022968
2010-12-03,340.8180847167969,342.5649853092908,336.17384752366974,338.30422678554345,4149926
2010-12-06,338.6450500488281,344.9083696839879,337.45204297679857,343.33188397906144,1695766
2010-12-07,341.26544189453125,343.11886135634614,337.87813383840984,338.3468068500673,2069200
2010-12-08,336.3016357421875,339.5824247204063,334.0434391227084,336.5998940139536,2744072
2010-12-09,323.9667663574219,337.87815344303795,319.9829675103676,336.59992587641864,3721616
2010-12-10,332.6586608886719,334.44818434241137,319.5568308248529,323.8175885691843,4954314
2010-12-13,327.3966979980469,336.5999260810586,323.51939210691387,336.5999260810586,5447910
2010-12-14,322.90155029296875,327.6523060956876,320.85639155487075,327.6523060956876,4415392
2010-12-15,320.7925109863281,327.78013917308175,318.32125030485116,322.6033333099865,5004014
2010-12-16,312.29229736328125,320.40903705020037,307.20068578882245,320.40903705020037,11975430
2010-12-20,317.767333984375,321.60201627543086,308.90496233505553,313.1231232574584,3900342
2010-12-21,321.3038330078125,322.8803190743597,317.8952257312173,317.8952257312173,1731572
