Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2010-01-04,435.46624755859375,435.46624755859375,435.46624755859375,435.46624755859375,0
2010-01-05,435.46624755859375,435.46624755859375,435.46624755859375,435.46624755859375,0
2010-01-06,435.46624755859375,435.46624755859375,435.46624755859375,435.46624755859375,0
2010-01-07,435.46624755859375,435.46624755859375,435.46624755859375,435.46624755859375,0
2010-01-08,103.05815124511719,106.3775452876511,102.25464257900313,105.55131192619362,12960
2010-01-11,103.23577880859375,103.89882921410047,99.14798811683545,99.18930230001452,16500
2010-01-12,103.39688873291016,104.93161537402612,102.09556767343845,104.93161537402612,1366920
2010-01-13,102.83918762207031,104.93162436855638,102.45292458032277,103.3968975958867,20640
2010-01-14,106.09661102294922,107.20376051425718,102.03980287869565,104.72506084918764,6607220
2010-01-15,103.83687591552734,106.5840992069558,103.28123349870215,106.5840992069558,164580
2010-01-18,104.7725601196289,106.33620153062446,103.8575021354709,106.33620153062446,17660
2010-01-19,105.59674835205078,106.17098024989409,104.55982781814953,106.04705029642133,13760
2010-01-20,105.0348892211914,106.37751809029218,104.93161007741443,105.34472665252235,12820
2010-01-21,104.36152648925781,106.12966525346124,103.27503398225466,104.9275005883259,16620
2010-01-22,104.4771957397461,104.51850992521203,102.37030465783684,103.27916000515022,13620
2010-01-25,104.19833374023438,110.11003109517601,103.69226339939132,110.11003109517601,39100
2010-01-27,106.04293060302734,106.37341893216443,103.22134268257683,106.17099577611708,106040
2010-01-28,106.86708068847656,107.82344675158289,104.74572893837122,106.08835176092836,20960
2010-01-29,104.64244842529297,106.58409541435745,104.35326803179993,104.35326803179993,15740
2010-02-01,104.60940551757812,107.40826848448386,103.90297322586984,107.40826848448386,12280
2010-02-02,105.76200103759766,107.37315350348841,104.9316325097724,107.37315350348841,16620
2010-02-03,105.94786834716797,107.41030448442771,105.59259416076998,106.9145595746498,173620
2010-02-04,106.102783203125,106.74105380574065,105.26209583356096,105.26209583356096,8840
2010-02-05,105.30757141113281,106.66672877965588,100.88308912078978,106.66672877965588,33020
2010-02-08,109.28998565673828,110.38475467418971,106.17096053605735,106.17096053605735,163620
2010-02-09,115.3669662475586,116.66414604622274,107.41447028464084,107.41447028464084,177220
2010-02-10,113.61532592773438,134.0150262156831,113.13610914563579,115.75527955633223,893980
2010-02-11,113.08037567138672,116.4575997836343,112.61974195981209,116.4575997836343,637620
2010-02-15,112.33676147460938,116.29235919715731,107.98871042395983,116.29235919715731,90080
2010-02-16,111.617919921875,116.27994278197932,111.41961939328264,115.34217253477446,122400
2010-02-17,111.07672882080078,113.31788139331866,110.77309416312428,111.7542461145865,199620
2010-02-18,109.53785705566406,111.95459153460894,109.26933380407404,111.07671881501099,44060
2010-02-19,109.06901550292969,110.92183791718277,108.5670676000346,109.47592941546903,149900
2010-02-22,106.7865219116211,109.434601227562,105.75786545772237,108.44519136084078,296400
2010-02-23,105.4356460571289,106.99722669925765,105.38607406965201,106.17099328845258,61400
2010-02-24,106.36514282226562,106.99721078321733,104.9316275634641,105.34474420741475,198360
2010-02-25,105.74134063720703,107.41032913164223,105.4315031493273,106.5840958306296,85280
2010-02-26,108.52162170410156,109.47592022654733,104.35740481225253,104.35740481225253,84780
2010-03-02,108.46170043945312,109.26933782397573,107.4103131729062,108.23654635115932,66860
2010-03-03,108.61457061767578,109.06279866547483,107.60242975379926,108.64968200386318,46780
2010-03-04,108.81494140625,109.47593067898369,107.82346380081034,107.82346380081034,95920
2010-03-05,111.5890121459961,112.35948335591175,110.30215767414052,110.30215767414052,287840
2010-03-08,112.61354064941406,113.6070857495858,111.22133947030859,112.78085239867973,195340
2010-03-09,113.4088134765625,113.64842826815435,111.54153017668558,111.54153017668558,84240
2010-03-10,113.19190979003906,114.22676915525356,112.4090581711731,112.4090581711731,167720
2010-03-11,112.89446258544922,113.19397471153336,111.33494957940964,112.57429966749211,554240
2010-03-12,112.17977142333984,116.70545898471194,111.12838395358412,116.70545898471194,397440
2010-03-15,113.39227294921875,113.8962758123753,111.7108850049574,112.8221699031688,59600
2010-03-16,110.39923095703125,113.02872722271194,109.88903790399092,113.01219902530816,184320
2010-03-17,110.65535736083984,111.12837135455065,109.68246317707508,111.12837135455065,42980
2010-03-18,110.22158813476562,111.45887052203123,109.80847147218238,111.45887052203123,129700
2010-03-19,109.32513427734375,111.11805911681715,108.2778820033566,111.11805911681715,223340
2010-03-22,108.84383392333984,109.88076065051891,107.88540036077774,109.47590183340601,437700
2010-03-23,109.63494110107422,109.93031792533928,108.85621235971931,109.11234260692443,59800
2010-03-25,109.40773010253906,110.09557276449384,107.8234314879283,109.88901446662425,161360
2010-03-26,111.0209732055664,112.36567002409183,108.7364384559458,108.7364384559458,458000
2010-03-29,112.07440185546875,115.67264378015241,109.18670835383823,110.30212817607391,154600
2010-03-30,110.32901763916016,112.78086435941368,109.1908790604129,111.99594511427405,184700
2010-03-31,110.32688903808594,113.64834915457622,107.41028762126298,113.60703498402816,339280
2010-04-01,111.9339599609375,112.98740236233864,108.85623591398988,110.12243943899433,406680
2010-04-05,112.33055114746094,113.60708009823178,111.50431783765562,113.60708009823178,261540
2010-04-06,114.02642822265625,116.95335692847175,111.74808324653986,112.16533520723813,656920
2010-04-07,113.65458679199219,114.43331573667261,112.04550192703773,113.60708241005405,73140
2010-04-08,112.30784606933594,113.60709356437282,110.51078588603524,112.20249929267756,2172060
2010-04-09,111.58074188232422,112.56602912511762,111.16969283349584,111.3473299669148,64960
2010-04-12,111.32874298095703,112.78085416948832,109.8559936085776,112.68377780074643,101800
2010-04-13,112.142578125,112.57429058473843,109.88903227721256,110.71526560260514,162700
2010-04-15,113.51409912109375,114.02016942351291,110.75655115350615,112.47098233895431,93440
2010-04-16,113.48931121826172,114.63984231982697,111.99589892832851,112.36770130087545,93620
2010-04-19,114.05944061279297,116.08164205156106,112.08887875465317,113.40051905968346,152120
2010-04-20,114.56756591796875,116.0237994087093,113.19808338301257,113.19808338301257,754640
2010-04-21,116.20975494384766,117.32517538657952,113.6484382568453,113.6484382568453,186880
2010-04-22,118.87018585205078,123.68712770716644,114.1028285871757,117.73825021763422,821760
2010-04-23,113.30106353759766,118.62460645036306,95.52402519423973,95.52402519423973,1708280
2010-04-26,114.69541931152344,115.71101339490893,112.41449260417357,112.43114522747345,484780
2010-04-27,116.2791519165039,116.46020948981185,114.46232668671715,115.29477997171145,407460
2010-04-28,116.52474212646484,116.7515912706783,114.67462406822402,114.67462406822402,2077280
2010-04-29,116.1126937866211,116.9597167471181,115.30521287546239,116.52475420439657,63720
2010-04-30,115.00757598876953,117.37590646518505,114.50394533680172,117.37590646518505,1417640
2010-05-03,114.48941802978516,115.9607811927316,113.8380221155777,113.8380221155777,1637540
2010-05-04,114.51856994628906,115.50294230881855,113.3385577684442,114.46237526099137,93480
2010-05-05,114.64130401611328,115.29478291002283,113.38013776529499,113.38013776529499,282480
2010-05-06,114.63715362548828,114.87439317076544,114.05027250376419,114.09188500846665,71320
2010-05-07,113.69441223144531,115.50083472024546,113.21992036312716,114.08774954089091,751580
2010-05-10,116.31663513183594,117.99819467605133,113.45092273604644,115.278151473837,3546780
2010-05-11,114.36243438720703,116.41026231976856,114.25421139730874,116.41026231976856,47520
2010-05-12,116.14598846435547,116.33536602937504,112.79743897660335,112.79743897660335,46300
2010-05-13,116.14598846435547,117.7921595216928,114.95349029669813,116.54347938542044,155100
2010-05-14,116.81819915771484,117.3509688804059,115.00344395395857,115.00344395395857,140600
2010-05-17,118.74739074707031,119.04082495386716,116.12723832912215,117.74843659965974,104100
2010-05-18,122.72860717773438,123.11154135727735,118.6246177281408,119.30306932855707,239500
2010-05-19,122.6058349609375,123.39042645791938,120.58089586491911,121.33009894215951,222080
2010-05-20,120.44973754882812,122.57873252266685,118.62457986064534,120.92631242844875,461660
2010-05-21,116.04814910888672,121.70466765276468,111.13667981125617,119.87327296732087,565120
2010-05-24,120.83894348144531,122.16254139246013,116.62673113938428,118.54136387506195,156180
2010-05-25,115.5903091430664,120.70573865871005,114.5039635922086,119.5403090215181,106580
2010-05-26,116.9576187133789,117.58404192483984,116.33952816528722,117.4591789966084,246240
2010-05-27,118.05648803710938,118.62463353300011,114.96599654214643,117.542441353305,51380
2010-05-28,119.06790161132812,120.28952605875666,118.3332553291575,118.58299390986427,213560
2010-05-31,119.84000396728516,122.37065686031245,118.62461634418044,119.45706979220978,166360
2010-06-01,118.84937286376953,121.95442042093394,118.39152096338134,121.95442042093394,161560
2010-06-02,118.10848236083984,121.16358455342302,116.12723937348198,120.11468522965485,3314780
2010-06-03,116.8390121459961,122.70364576564869,116.543494698208,122.70364576564869,199520
2010-06-04,116.97219848632812,118.20839239374637,116.33537209173278,116.95971219240397,159440
2010-06-07,116.41030883789062,118.20009170634067,115.50293745882233,116.97221756056952,90980
2010-06-08,117.42794799804688,118.41648632855768,116.54346633390563,116.72244075152612,2426600
2010-06-09,119.11782836914062,119.41542891350173,116.25418685123779,118.00026077795111,93340
2010-06-10,120.37691497802734,120.70573761297682,117.66728791947331,117.66728791947331,55320
2010-06-11,120.61000061035156,120.98876841379465,119.50283611618646,120.98876841379465,178160
2010-06-14,120.89723205566406,121.74633827926286,119.66520429158315,121.74633827926286,40800
2010-06-15,121.05536651611328,121.33007765015483,120.1646480229151,120.1646480229151,41380
2010-06-16,121.89826965332031,122.29992703038174,120.95552246417002,121.88370018962563,54180
2010-06-17,121.38214874267578,121.74634721725731,120.29163648542918,121.74634721725731,44280
2010-06-18,122.8659439086914,124.1728889640983,120.89718731217,121.85659937911404,128580
2010-06-21,124.73481750488281,127.53186150642831,122.49759893682814,122.57876619387909,253220
2010-06-22,121.19900512695312,123.74422805732799,119.56531994525854,119.56531994525854,165200
2010-06-23,120.67243957519531,124.05428120784568,120.08139212549258,121.24682169954484,734260
2010-06-24,122.34564208984375,122.78684124900097,120.99914249675166,122.57872795874843,124320
2010-06-25,121.01998901367188,122.70154833857032,120.91384917910965,121.12404568250071,41800
2010-06-28,121.01373291015625,122.74523730921038,120.08138927306148,122.74523730921038,113440
2010-06-29,120.61627960205078,121.33010700924368,120.20628961642939,120.99713066438267,396160
2010-06-30,119.85454559326172,122.78478491701287,118.73906116226568,120.58087180484458,2305580
2010-07-01,122.49137115478516,123.81496914251352,120.45601629440205,120.49764150894481,157080
2010-07-02,123.97314453125,124.4518027706907,120.91387526717608,122.49553189373655,129480
2010-07-05,128.3975830078125,130.07080932618263,122.7868440039164,123.03658249826816,481560
2010-07-06,128.65771484375,129.86060299177655,127.86480375847707,128.4058932032403,334500
2010-07-07,126.28111267089844,128.6057482599413,125.74210613253746,128.6057482599413,74680
2010-07-08,126.8533935546875,128.69728729705463,126.5745288080239,127.61509544948706,116900
