Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2010-01-04,1821.041748046875,1832.6874783455737,1770.283309779123,1786.290326995053,6976
2010-01-05,1897.7359619140625,1916.2020478875436,1838.2548459395757,1855.885760665902,19634
2010-01-06,1966.543212890625,2277.2650186623187,1884.7914568239244,1911.5625898571134,29100
2010-01-07,2090.330322265625,2156.214263097462,1971.971395714306,1990.437367384376,36846
2010-01-08,2060.079833984375,2148.187973596017,2041.567417059429,2108.286425922311,16820
2010-01-11,2108.425048828125,2180.6654832214895,2064.7655232645743,2097.1506349279007,34698
2010-01-12,2026.951904296875,2119.421311804118,2013.635834770112,2119.421311804118,12655
2010-01-13,2047.506103515625,2064.6730479593316,2018.1830159004598,2018.1830159004598,9520
2010-01-14,2095.7587890625,2175.6547538188543,2050.753563793724,2056.3212205280056,13575
2010-01-15,2060.4970703125,2115.663226682628,2047.969842008416,2102.7184694114503,7277
2010-01-18,2032.936767578125,2077.3851291207948,1985.750794026762,2042.4481795752272,21665
2010-01-19,2028.2977294921875,2074.8804199066753,2027.555329828303,2040.5465310262875,9780
2010-01-20,2035.2099609375,2068.3374640629904,2027.6008774749666,2042.401515569788,5778
2010-01-21,1963.666259765625,2069.3126486112315,1939.4006437656833,2018.275789564766,29461
2010-01-22,1937.1273193359375,1971.8787369431752,1902.283016815769,1945.1074926480724,10850
2010-01-25,1877.9217529296875,1953.358578167777,1851.7839775215464,1953.358578167777,8905
2010-01-27,1848.99365234375,1883.5959623823499,1837.0874201013041,1883.5959623823499,16648
2010-01-28,1846.2493896484375,1878.9449142063745,1833.4595418413396,1869.6432067103033,4278
2010-01-29,1834.8548583984375,1864.480775039935,1758.0227746595988,1814.8097462119397,10010
2010-02-01,1848.1563720703125,1885.4561981754885,1795.2296312179046,1842.8543304203192,11717
2010-02-02,1858.8531494140625,1899.8736545709512,1841.7379858264298,1897.5482278211703,6052
2010-02-03,1861.737060546875,1883.5960767461513,1854.7607787811485,1869.6435132146983,2230
2010-02-04,1814.99560546875,1874.2474345247535,1813.8328920763934,1842.6681842068385,4430
2010-02-05,1811.27490234375,1869.6431139868725,1734.7683619828445,1799.8803112261685,7258
2010-02-08,1864.806396484375,1920.802631160736,1814.763163871475,1855.690677562067,7680
2010-02-09,1846.5750732421875,1925.4536044870126,1832.4365221446449,1846.3890844960001,8170
2010-02-10,1826.2974853515625,1938.4760681198838,1816.623685718874,1916.1519675273325,100635
2010-02-11,1855.7373046875,1883.5958747999962,1832.436480669626,1833.413205430611,24742
2010-02-15,1857.364990234375,1877.0845646226205,1851.225772476422,1864.992344929809,2391
2010-02-16,1887.0374755859375,1897.5484511505128,1851.970081490525,1866.3877290360315,26271
2010-02-17,1949.8238525390625,1968.2412785412591,1897.5483025634069,1897.5483025634069,11051
2010-02-18,1955.823486328125,1971.962040087529,1930.1043552743504,1953.358624615005,8372
2010-02-19,1986.47314453125,2007.3088826897263,1906.85042146151,1925.5469481382115,5569
2010-02-22,2093.116943359375,2102.186109095517,1998.9371453302065,2009.1690246222643,37371
2010-02-23,2066.60693359375,2130.0910894248623,1986.8447890879936,2111.4876737966974,25713
2010-02-24,2042.5152587890625,2116.603258271273,2028.7021341637646,2116.603258271273,14800
2010-02-25,1958.89306640625,2077.954923674261,1953.3585958033013,1999.8671337986182,14391
2010-02-26,1991.5421142578125,2018.470511842938,1958.8930303490806,1994.2860725305343,8879
2010-03-02,2026.9820556640625,2039.3999294236771,2000.797832697984,2000.797832697984,2562
