Symbol,Prev Month Price,Current Price,Return %,RS,Rank
ADANIENT.NS,1758.8,2321.8,32.01,24.48,1
ADANIPORTS.NS,1312.6,1628.5,24.07,16.54,2
NESTLEIND.NS,1174.8,1417.3,20.64,13.11,3
HINDALCO.NS,884.45,1061.8,20.05,12.52,4
INDUSINDBK.NS,752.45,900.15,19.63,12.1,5
LT.NS,3504.1,4053.6,15.68,8.15,6
BAJFINANCE.NS,801.55,921.8,15.0,7.47,7
ASIANPAINT.NS,2165.2,2485.2,14.78,7.25,8
TATACONSUM.NS,1014.8,1160.5,14.36,6.83,9
JSWSTEEL.NS,1122.5,1282.7,14.27,6.74,10
AXISBANK.NS,1161.3,1324.2,14.03,6.5,11
SBIN.NS,979.4,1111.85,13.52,6.0,12
HINDUNILVR.NS,2055.2,2328.3,13.29,5.76,13
UPL.NS,567.95,639.5,12.6,5.07,14
TITAN.NS,3951.4,4441.8,12.41,4.88,15
ULTRACEMCO.NS,10745.0,12010.0,11.77,4.24,16
BPCL.NS,281.0,312.65,11.26,3.73,17
TATASTEEL.NS,191.86,213.27,11.16,3.63,18
NTPC.NS,370.65,410.2,10.67,3.14,19
BAJAJ-AUTO.NS,8781.5,9662.0,10.03,2.5,20
WIPRO.NS,187.64,205.05,9.28,1.75,21
SHREECEM.NS,23020.0,25125.0,9.14,1.62,22
ICICIBANK.NS,1205.9,1314.1,8.97,1.44,23
EICHERMOT.NS,6586.0,7174.0,8.93,1.4,24
DIVISLAB.NS,5947.0,6477.0,8.91,1.38,25
GRASIM.NS,2557.7,2778.2,8.62,1.09,26
BAJAJFINSV.NS,1631.8,1772.2,8.6,1.08,27
POWERGRID.NS,296.1,320.9,8.38,0.85,28
IOC.NS,135.4,146.26,8.02,0.49,29
HDFCBANK.NS,731.55,789.8,7.96,0.43,30
CIPLA.NS,1224.2,1317.2,7.6,0.07,31
MARUTI.NS,12306.0,13222.0,7.44,-0.08,32
KOTAKBANK.NS,353.4,376.8,6.62,-0.91,33
DRREDDY.NS,1254.9,1334.5,6.34,-1.19,34
ITC.NS,287.7,303.85,5.61,-1.91,35
APOLLOHOSP.NS,7419.0,7825.0,5.47,-2.06,36
BRITANNIA.NS,5423.0,5717.5,5.43,-2.1,37
M&M.NS,2954.7,3102.4,5.0,-2.53,38
TCS.NS,2358.9,2447.6,3.76,-3.77,39
SBILIFE.NS,1777.3,1815.4,2.14,-5.38,40
BHARTIARTL.NS,1782.4,1820.1,2.12,-5.41,41
RELIANCE.NS,1343.9,1365.8,1.63,-5.9,42
HDFCLIFE.NS,590.6,597.3,1.13,-6.39,43
TECHM.NS,1384.0,1396.1,0.87,-6.65,44
COALINDIA.NS,450.45,452.5,0.46,-7.07,45
ONGC.NS,284.65,285.9,0.44,-7.09,46
HEROMOTOCO.NS,5063.0,5043.0,-0.4,-7.92,47
SUNPHARMA.NS,1757.2,1733.5,-1.35,-8.88,48
INFY.NS,1250.6,1170.3,-6.42,-13.95,49
HCLTECH.NS,1316.4,1228.2,-6.7,-14.23,50
