Date,Portfolio Value
2010-03-31,110886.85284386753
2010-04-30,109880.66299033526
2010-05-31,114332.1628072119
2010-06-30,124347.62988343078
2010-07-31,114736.08449030534
2010-08-31,117132.35446001426
2010-09-30,120425.38841488943
2010-10-31,119735.12192652372
2010-11-30,116494.55689552092
2010-12-31,109749.52608632678
2011-01-31,104290.10837638787
2011-02-28,94735.57198157476
2011-03-31,104806.69151769351
2011-04-30,101770.67425161864
2011-05-31,107706.5611794937
2011-06-30,111307.34105470078
2011-07-31,104864.86983134295
2011-08-31,98300.40182482803
2011-09-30,98902.84959094785
2011-10-31,105943.42908549732
2011-11-30,95665.59905484947
2011-12-31,91973.4671904143
2012-01-31,96742.68687332704
2012-02-29,99599.48030441641
2012-03-31,101322.79614449467
2012-04-30,99368.91864354373
2012-05-31,98996.31107616732
2012-06-30,101427.2941832238
2012-07-31,101487.99446046524
2012-08-31,105970.17164826191
2012-09-30,116508.60104851484
2012-10-31,116505.68273701306
2012-11-30,121820.21880780597
2012-12-31,119735.6581675005
2013-01-31,113277.66525163097
2013-02-28,106170.43340865722
2013-03-31,109580.99783457322
2013-04-30,114492.61699137701
2013-05-31,120869.04036903448
2013-06-30,114213.36818607041
2013-07-31,125591.56726038865
2013-08-31,131359.71449280286
2013-09-30,132966.30361393213
2013-10-31,147439.6080327433
2013-11-30,157494.96352874517
2013-12-31,163542.41228989483
2014-01-31,163457.6606488792
2014-02-28,171573.77851956338
2014-03-31,187745.0253901888
2014-04-30,191321.78124074207
2014-05-31,214934.23541458638
2014-06-30,221965.16027354018
2014-07-31,217170.89697640057
2014-08-31,221330.9511192898
2014-09-30,226271.28346239513
2014-10-31,236964.7064079013
2014-11-30,247271.77617178104
2014-12-31,247055.4054917958
2015-01-31,262137.00281313673
2015-02-28,264648.75354149047
2015-03-31,246110.80228608707
2015-04-30,234186.53447541653
2015-05-31,237625.1211229208
2015-06-30,241238.08527999904
2015-07-31,251683.14222971667
2015-08-31,246207.2841977957
2015-09-30,226507.33208130518
2015-10-31,229796.53820690958
2015-11-30,213441.05038740963
2015-12-31,212666.85464438456
2016-01-31,213860.38934132748
2016-02-29,201408.26389760163
2016-03-31,213220.34152768497
2016-04-30,232674.15619775403
2016-05-31,226312.506748477
2016-06-30,229883.10281333904
2016-07-31,244173.52524119953
2016-08-31,257225.5669001391
2016-09-30,250135.44425144643
2016-10-31,259721.19685931306
2016-11-30,240545.25588160034
2016-12-31,233507.12884320825
2017-01-31,244934.53324360139
2017-02-28,248553.33970943163
2017-03-31,261502.68668247428
2017-04-30,261881.87829425183
2017-05-31,253444.74315816164
2017-06-30,260448.19546958027
2017-07-31,267848.3346276669
2017-08-31,289471.9585890838
2017-09-30,279976.3613474786
2017-10-31,296601.97650125425
2017-11-30,289524.21798318863
2017-12-31,314355.67651852546
2018-01-31,319334.21999855357
2018-02-28,312469.6203273278
2018-03-31,306465.30587764335
